fid,TIPO,FECHA,POINT_X,POINT_Y,ELEV_TERR,DEUT_2H,OXIG_18,Month,CooX,CooY,Lon,Lat,PROF_MAX,P/GW,O18,2H,,,
4,Aljibe,11/16/2010,993495,1012037,2546.15618,-74.9,-10.76,11,595807.87,520120.3325,-74.13613958,4.705049715,5,0.533499,-5.74045324,-32.92092133,,,
46,Aljibe,11/08/2010,1005511,1018780,2565.758576,-69.5,-9.94,11,607811.6334,526877.4632,-74.02783114,4.76602785,8.00000,0.652922,-6.49004173,-40.87647629,,,
16,Aljibe,11/08/2010,999088,1015197,2557.57335,-69.1,-9.94,11,601395.1149,523286.8529,-74.0857284,4.733628268,40,0.597037,-5.93454885,-39.49258041,,,
89,Aljibe,1/01/1999,983440,1013030,2570,-70.1,-9.58,1,585754.5793,521099.7453,-74.22677031,4.714015935,8.00000,0.734221,-7.03383446,-48.48610306,,,
147,Aljibe,1/01/1999,993920,1025100,2587,-68.2,-10.255,1,596215.2837,533180.1479,-74.13231827,4.823179575,8.00000,0.82601,-8.47073555,-58.79953003,,,
197,Aljibe,1/01/1999,973520,1019420,2580,-65.65,-9.365,1,575829.307,527474.4609,-74.31620294,4.771775714,8.00000,0.873302,-8.17847252,-52.82256699,,,
269,Aljibe,11/09/2010,1000507,1000300,2610.202921,-81.7,-11.34,11,602833.2378,508395.76,-74.07293885,4.598913335,8.00000,0.984934,-11.16915035,-75.93474579,,,
295,Aljibe,1/01/1999,997580,1033050,2602,-58.5,-8.34,1,599863.4108,541132.8951,-74.0993262,4.895073624,8.00000,1.09959,-9.17058468,-61.18350983,,,
307,Aljibe,1/01/1999,1001270,1031600,2579,-58.05,-8.02,1,603554.3929,539688.3527,-74.06605805,4.88196148,8.00000,1.143464,-9.17058468,-61.18350983,,,
134,Aljibe,11/08/2010,998170,1017712,2551.341707,-78.3,-11.35,11,600474.0182,525799.9393,-74.09400351,4.756371449,2,0.808497,-9.17644119,-62.95465469,,,
334,Aljibe,11/09/2010,987611,1001562,2546.776558,-77.7,-9.33,11,589939.2988,509640.7337,-74.18915898,4.61031698,8.00000,1.240036,-11.56954002,-83.30422974,,,
290,Aljibe,11/08/2010,999586,998683,2608.461771,-74.2,-10.18,11,601914.5713,506778.0115,-74.0812388,4.584290627,3,1.050005,-10.68904972,-72.25498962,,,
